timestamp,mmsi,lat,lon,sog,cog,heading,length_m,beam_m,vessel_type,position_accuracy_m,source
2026-08-03T12:02:00+00:00,261100001,53.4,14.599311606994569,10.0,90.0,90.0,140.0,22.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:02:00+00:00,261100002,53.4,14.61068839300543,10.0,270.0,270.0,120.0,20.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:02:00+00:00,261200001,53.6,14.598420073336486,9.0,90.0,90.0,110.0,18.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:02:00+00:00,261200002,53.59654144937286,14.605,8.0,0.0,0.0,85.0,15.0,tanker,10.0,synthetic-deterministic
2026-08-03T12:02:00+00:00,261300001,53.8,14.603160280756896,14.0,90.0,90.0,100.0,17.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:02:00+00:00,261300002,53.8,14.608580140378448,7.0,90.0,90.0,130.0,21.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:02:30+00:00,261100001,53.4,14.601639508743212,10.0,90.0,90.0,140.0,22.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:02:30+00:00,261100002,53.4,14.608360491256787,10.0,270.0,270.0,120.0,20.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:02:30+00:00,261200001,53.6,14.600525091670608,9.0,90.0,90.0,110.0,18.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:02:30+00:00,261200002,53.59765181171607,14.605,8.0,0.0,0.0,85.0,15.0,tanker,10.0,synthetic-deterministic
2026-08-03T12:02:30+00:00,261300001,53.8,14.606450350946119,14.0,90.0,90.0,100.0,17.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:02:30+00:00,261300002,53.8,14.61022517547306,7.0,90.0,90.0,130.0,21.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:03:00+00:00,261100001,53.4,14.603967410491853,10.0,90.0,90.0,140.0,22.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:03:00+00:00,261100002,53.4,14.606032589508146,10.0,270.0,270.0,120.0,20.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:03:00+00:00,261200001,53.6,14.602630110004728,9.0,90.0,90.0,110.0,18.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:03:00+00:00,261200002,53.59876217405928,14.605,8.0,0.0,0.0,85.0,15.0,tanker,10.0,synthetic-deterministic
2026-08-03T12:03:00+00:00,261300001,53.8,14.609740421135344,14.0,90.0,90.0,100.0,17.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:03:00+00:00,261300002,53.8,14.611870210567671,7.0,90.0,90.0,130.0,21.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:03:30+00:00,261100001,53.4,14.606295312240496,10.0,90.0,90.0,140.0,22.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:03:30+00:00,261100002,53.4,14.603704687759503,10.0,270.0,270.0,120.0,20.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:03:30+00:00,261200001,53.6,14.60473512833885,9.0,90.0,90.0,110.0,18.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:03:30+00:00,261200002,53.59987253640249,14.605,8.0,0.0,0.0,85.0,15.0,tanker,10.0,synthetic-deterministic
2026-08-03T12:03:30+00:00,261300001,53.8,14.613030491324567,14.0,90.0,90.0,100.0,17.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:03:30+00:00,261300002,53.8,14.613515245662285,7.0,90.0,90.0,130.0,21.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:04:00+00:00,261100001,53.4,14.608623213989137,10.0,90.0,90.0,140.0,22.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:04:00+00:00,261100002,53.4,14.601376786010862,10.0,270.0,270.0,120.0,20.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:04:00+00:00,261200001,53.6,14.606840146672972,9.0,90.0,90.0,110.0,18.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:04:00+00:00,261200002,53.600982898745706,14.605,8.0,0.0,0.0,85.0,15.0,tanker,10.0,synthetic-deterministic
2026-08-03T12:04:00+00:00,261300001,53.8,14.61632056151379,14.0,90.0,90.0,100.0,17.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:04:00+00:00,261300002,53.8,14.615160280756896,7.0,90.0,90.0,130.0,21.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:04:30+00:00,261100001,53.4,14.61095111573778,10.0,90.0,90.0,140.0,22.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:04:30+00:00,261100002,53.4,14.599048884262219,10.0,270.0,270.0,120.0,20.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:04:30+00:00,261200001,53.6,14.608945165007093,9.0,90.0,90.0,110.0,18.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:04:30+00:00,261200002,53.60209326108892,14.605,8.0,0.0,0.0,85.0,15.0,tanker,10.0,synthetic-deterministic
2026-08-03T12:04:30+00:00,261300001,53.8,14.619610631703015,14.0,90.0,90.0,100.0,17.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:04:30+00:00,261300002,53.8,14.616805315851508,7.0,90.0,90.0,130.0,21.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:05:00+00:00,261100001,53.4,14.613279017486422,10.0,90.0,90.0,140.0,22.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:05:00+00:00,261100002,53.4,14.596720982513578,10.0,270.0,270.0,120.0,20.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:05:00+00:00,261200001,53.6,14.611050183341215,9.0,90.0,90.0,110.0,18.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:05:00+00:00,261200002,53.60320362343214,14.605,8.0,0.0,0.0,85.0,15.0,tanker,10.0,synthetic-deterministic
2026-08-03T12:05:00+00:00,261300001,53.8,14.622900701892238,14.0,90.0,90.0,100.0,17.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:05:00+00:00,261300002,53.8,14.61845035094612,7.0,90.0,90.0,130.0,21.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:05:30+00:00,261100001,53.4,14.615606919235065,10.0,90.0,90.0,140.0,22.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:05:30+00:00,261100002,53.4,14.594393080764934,10.0,270.0,270.0,120.0,20.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:05:30+00:00,261200001,53.6,14.613155201675337,9.0,90.0,90.0,110.0,18.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:05:30+00:00,261200002,53.60431398577535,14.605,8.0,0.0,0.0,85.0,15.0,tanker,10.0,synthetic-deterministic
2026-08-03T12:05:30+00:00,261300001,53.8,14.626190772081463,14.0,90.0,90.0,100.0,17.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:05:30+00:00,261300002,53.8,14.620095386040731,7.0,90.0,90.0,130.0,21.0,cargo,10.0,synthetic-deterministic
