encounter_id,timestamp,own_mmsi,target_mmsi,encounter_type,risk_level,risk_score,confidence,rationale,own_position.lat,own_position.lon,target_position.lat,target_position.lon,relative_motion.current_distance_nm,relative_motion.dcpa_nm,relative_motion.tcpa_min,relative_motion.relative_speed_kn,relative_motion.closing_speed_kn,relative_motion.converging,relative_motion.relative_bearing_deg,relative_motion.cpa_east_nm,relative_motion.cpa_north_nm,domain.forward_nm,domain.aft_nm,domain.lateral_nm,domain.normalized_distance,domain.violated,colreg.rule,colreg.own_role,colreg.target_role,colreg.explanation,components.dcpa,components.tcpa,components.range,components.closing_speed,components.domain
enc-a5bf98d84b8f,2026-08-03T12:01:30Z,261200001,261200002,crossing-starboard,critical,0.911953,1.0,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold,53.6,14.596315055002364,53.59543108702964,14.605,0.413537,0.000561,2.060542,12.041595,12.041584,True,41.555824,0.000373,0.000419,0.312581,0.089093,0.089093,0.004852,True,Rule 15,give-way,stand-on,Target is detected on the own vessel's starboard side.,0.998878,0.9542101777777778,0.7932315,0.6020792,1.0
enc-f69c22f254bd,2026-08-03T12:01:30Z,261300001,261300002,overtaking,critical,0.893011,1.0,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold,53.8,14.599870210567671,53.8,14.606935105283837,0.250523,0.0,2.147339,7.0,7.0,True,0.0,0.0,-0.0,0.332649,0.080994,0.080994,0.0,True,Rule 13,give-way,stand-on,Own vessel is approaching from abaft the target's beam.,1.0,0.9522813555555556,0.8747385,0.35,1.0
enc-9d95e2c6177f,2026-08-03T12:02:00Z,261100001,261100002,head-on,critical,0.964975,1.0,encounter geometry classified as head-on | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold,53.4,14.599311606994569,53.4,14.61068839300543,0.407262,0.0,1.221785,20.0,20.0,True,0.0,0.0,-0.0,0.385709,0.113391,0.113391,0.0,True,Rule 14,mutual-action,mutual-action,Head-on context; both vessels require coordinated compliance monitoring.,1.0,0.9728492222222223,0.796369,1.0,1.0
enc-a5bf98d84b8f,2026-08-03T12:02:00Z,261200001,261200002,crossing-starboard,critical,0.921648,1.0,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold,53.6,14.598420073336486,53.59654144937286,14.605,0.313185,0.000556,1.560515,12.041595,12.041576,True,41.53179,0.00037,0.000416,0.312581,0.089093,0.089093,0.004817,True,Rule 15,give-way,stand-on,Target is detected on the own vessel's starboard side.,0.998888,0.9653218888888889,0.8434075,0.6020787999999999,1.0
enc-f69c22f254bd,2026-08-03T12:02:00Z,261300001,261300002,overtaking,critical,0.899761,1.0,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold,53.8,14.603160280756896,53.8,14.608580140378448,0.19219,0.0,1.647339,7.0,7.0,True,0.0,0.0,-0.0,0.332649,0.080994,0.080994,0.0,True,Rule 13,give-way,stand-on,Own vessel is approaching from abaft the target's beam.,1.0,0.9633924666666667,0.903905,0.35,1.0
enc-9d95e2c6177f,2026-08-03T12:02:30Z,261100001,261100002,head-on,critical,0.979309,1.0,encounter geometry classified as head-on | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold,53.4,14.601639508743212,53.4,14.608360491256787,0.240595,0.0,0.721785,20.0,20.0,True,0.0,0.0,-0.0,0.385709,0.113391,0.113391,0.0,True,Rule 14,mutual-action,mutual-action,Head-on context; both vessels require coordinated compliance monitoring.,1.0,0.9839603333333333,0.8797025,1.0,1.0
enc-a5bf98d84b8f,2026-08-03T12:02:30Z,261200001,261200002,crossing-starboard,critical,0.931341,1.0,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold,53.6,14.600525091670608,53.59765181171607,14.605,0.212835,0.000553,1.060496,12.041595,12.041554,True,41.484739,0.000367,0.000413,0.312581,0.089093,0.089093,0.004782,True,Rule 15,give-way,stand-on,Target is detected on the own vessel's starboard side.,0.998894,0.9764334222222222,0.8935825,0.6020776999999999,1.0
enc-f69c22f254bd,2026-08-03T12:02:30Z,261300001,261300002,overtaking,critical,0.906511,1.0,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold,53.8,14.606450350946119,53.8,14.61022517547306,0.133856,0.0,1.147339,7.0,7.0,True,0.0,0.0,-0.0,0.332649,0.080994,0.080994,0.0,True,Rule 13,give-way,stand-on,Own vessel is approaching from abaft the target's beam.,1.0,0.9745035777777777,0.933072,0.35,1.0
enc-9d95e2c6177f,2026-08-03T12:03:00Z,261100001,261100002,head-on,critical,0.993642,1.0,encounter geometry classified as head-on | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold,53.4,14.603967410491853,53.4,14.606032589508146,0.073928,0.0,0.221785,20.0,20.0,True,0.0,0.0,-0.0,0.385709,0.113391,0.113391,0.0,True,Rule 14,mutual-action,mutual-action,Head-on context; both vessels require coordinated compliance monitoring.,1.0,0.9950714444444444,0.963036,1.0,1.0
enc-a5bf98d84b8f,2026-08-03T12:03:00Z,261200001,261200002,crossing-starboard,critical,0.941033,1.0,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold,53.6,14.602630110004728,53.59876217405928,14.605,0.112487,0.000551,0.560484,12.041595,12.04145,True,41.353077,0.000366,0.000412,0.312581,0.089093,0.089093,0.00477,True,Rule 15,give-way,stand-on,Target is detected on the own vessel's starboard side.,0.998898,0.9875448,0.9437565,0.6020725,1.0
enc-f69c22f254bd,2026-08-03T12:03:00Z,261300001,261300002,overtaking,critical,0.913261,1.0,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold,53.8,14.609740421135344,53.8,14.611870210567671,0.075523,0.0,0.647339,7.0,7.0,True,0.0,0.0,-0.0,0.332649,0.080994,0.080994,0.0,True,Rule 13,give-way,stand-on,Own vessel is approaching from abaft the target's beam.,1.0,0.9856146888888889,0.9622385,0.35,1.0
enc-9d95e2c6177f,2026-08-03T12:03:30Z,261100001,261100002,diverging,warning,0.574156,1.0,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the warning threshold,53.4,14.606295312240496,53.4,14.603704687759503,0.092738,0.092738,0.0,20.0,0.0,False,-180.0,-0.092738,0.0,0.385709,0.113391,0.113391,0.817861,True,,monitor,monitor,No specific Rules 13-17 encounter class was assigned.,0.814524,0.0,0.953631,0.0,1.0
enc-a5bf98d84b8f,2026-08-03T12:03:30Z,261200001,261200002,crossing-starboard,critical,0.950651,1.0,encounter geometry classified as crossing-starboard | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the critical threshold,53.6,14.60473512833885,53.59987253640249,14.605,0.01215,0.00055,0.060479,12.041595,12.02926,True,39.039974,0.000365,0.000411,0.312581,0.089093,0.089093,0.004759,True,Rule 15,give-way,stand-on,Target is detected on the own vessel's starboard side.,0.9989,0.9986560222222223,0.993925,0.6014630000000001,1.0
enc-f69c22f254bd,2026-08-03T12:03:30Z,261300001,261300002,overtaking,critical,0.920011,1.0,encounter geometry classified as overtaking | closest point of approach is expected within 10 minutes | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is dcpa (1.000) | combined score exceeds the critical threshold,53.8,14.613030491324567,53.8,14.613515245662285,0.01719,0.0,0.147339,7.0,7.0,True,0.0,0.0,-0.0,0.332649,0.080994,0.080994,0.0,True,Rule 13,give-way,stand-on,Own vessel is approaching from abaft the target's beam.,1.0,0.9967258,0.991405,0.35,1.0
enc-9d95e2c6177f,2026-08-03T12:04:00Z,261100001,261100002,diverging,watch,0.31856,1.0,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | dominant normalized risk component is range (0.870),53.4,14.608623213989137,53.4,14.601376786010862,0.259405,0.259405,0.0,20.0,0.0,False,-180.0,-0.259405,0.0,0.385709,0.113391,0.113391,2.287705,False,,monitor,monitor,No specific Rules 13-17 encounter class was assigned.,0.48119,0.0,0.8702975,0.0,0.2374316666666667
enc-a5bf98d84b8f,2026-08-03T12:04:00Z,261200001,261200002,diverging,warning,0.577371,1.0,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the warning threshold,53.6,14.606840146672972,53.600982898745706,14.605,0.08821,0.08821,0.0,12.041595,0.0,False,-138.009014,-0.065562,0.059014,0.312581,0.089093,0.089093,0.990092,True,,monitor,monitor,No specific Rules 13-17 encounter class was assigned.,0.82358,0.0,0.955895,0.0,1.0
enc-f69c22f254bd,2026-08-03T12:04:00Z,261300001,261300002,diverging,warning,0.610788,1.0,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | predicted CPA enters the configured own-vessel domain | dominant normalized risk component is domain (1.000) | combined score exceeds the warning threshold,53.8,14.61632056151379,53.8,14.615160280756896,0.041144,0.041144,0.0,7.0,0.0,False,-180.0,-0.041144,0.0,0.332649,0.080994,0.080994,0.507991,True,,monitor,monitor,No specific Rules 13-17 encounter class was assigned.,0.917712,0.0,0.979428,0.0,1.0
enc-9d95e2c6177f,2026-08-03T12:04:30Z,261100001,261100002,diverging,safe,0.157489,1.0,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | dominant normalized risk component is range (0.787),53.4,14.61095111573778,53.4,14.599048884262219,0.426072,0.426072,0.0,20.0,0.0,False,-180.0,-0.426072,0.0,0.385709,0.113391,0.113391,3.757549,False,,monitor,monitor,No specific Rules 13-17 encounter class was assigned.,0.147856,0.0,0.786964,0.0,0.0
enc-a5bf98d84b8f,2026-08-03T12:04:30Z,261200001,261200002,diverging,watch,0.379145,1.0,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | dominant normalized risk component is range (0.906),53.6,14.608945165007093,53.60209326108892,14.605,0.188554,0.188554,0.0,12.041595,0.0,False,-138.19869,-0.140559,0.12568,0.312581,0.089093,0.089093,2.116366,False,,monitor,monitor,No specific Rules 13-17 encounter class was assigned.,0.622892,0.0,0.9057230000000001,0.0,0.29454466666666657
enc-f69c22f254bd,2026-08-03T12:04:30Z,261300001,261300002,diverging,watch,0.495679,1.0,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | dominant normalized risk component is range (0.950),53.8,14.619610631703015,53.8,14.616805315851508,0.099477,0.099477,0.0,7.0,0.0,False,-180.0,-0.099477,0.0,0.332649,0.080994,0.080994,1.228209,False,,monitor,monitor,No specific Rules 13-17 encounter class was assigned.,0.801046,0.0,0.9502615,0.0,0.590597
enc-9d95e2c6177f,2026-08-03T12:05:00Z,261100001,261100002,diverging,safe,0.098508,1.0,encounter geometry classified as diverging | relative motion is not converging | current separation is below 1 nautical mile | dominant normalized risk component is range (0.704),53.4,14.613279017486422,53.4,14.596720982513578,0.592738,0.592738,0.0,20.0,0.0,False,-180.0,-0.592738,0.0,0.385709,0.113391,0.113391,5.227385,False,,monitor,monitor,No specific Rules 13-17 encounter class was assigned.,0.0,0.0,0.703631,0.0,0.0
enc-a5bf98d84b8f,2026-08-03T12:05:00Z,261200001,261200002,diverging,watch,0.254883,1.0,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | dominant normalized risk component is range (0.856),53.6,14.611050183341215,53.60320362343214,14.605,0.288897,0.288897,0.0,12.041595,0.0,False,-138.256344,-0.215555,0.192347,0.312581,0.089093,0.089093,3.242647,False,,monitor,monitor,No specific Rules 13-17 encounter class was assigned.,0.42220599999999997,0.0,0.8555515,0.0,0.0
enc-f69c22f254bd,2026-08-03T12:05:00Z,261300001,261300002,diverging,watch,0.411049,1.0,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | dominant normalized risk component is range (0.921),53.8,14.622900701892238,53.8,14.61845035094612,0.15781,0.15781,0.0,7.0,0.0,False,-180.0,-0.15781,0.0,0.332649,0.080994,0.080994,1.948427,False,,monitor,monitor,No specific Rules 13-17 encounter class was assigned.,0.68438,0.0,0.921095,0.0,0.3505243333333333
enc-9d95e2c6177f,2026-08-03T12:05:30Z,261100001,261100002,diverging,safe,0.086842,1.0,encounter geometry classified as diverging | relative motion is not converging | current separation is below 1 nautical mile | dominant normalized risk component is range (0.620),53.4,14.615606919235065,53.4,14.594393080764934,0.759405,0.759405,0.0,20.0,0.0,False,-180.0,-0.759405,0.0,0.385709,0.113391,0.113391,6.697229,False,,monitor,monitor,No specific Rules 13-17 encounter class was assigned.,0.0,0.0,0.6202975,0.0,0.0
enc-a5bf98d84b8f,2026-08-03T12:05:30Z,261200001,261200002,diverging,safe,0.183641,1.0,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | dominant normalized risk component is range (0.805),53.6,14.613155201675337,53.60431398577535,14.605,0.389238,0.389238,0.0,12.041595,0.0,False,-138.284079,-0.290548,0.259014,0.312581,0.089093,0.089093,4.368904,False,,monitor,monitor,No specific Rules 13-17 encounter class was assigned.,0.22152400000000005,0.0,0.805381,0.0,0.0
enc-f69c22f254bd,2026-08-03T12:05:30Z,261300001,261300002,diverging,watch,0.326418,1.0,encounter geometry classified as diverging | relative motion is not converging | predicted closest passing distance is below 0.5 nautical miles | current separation is below 1 nautical mile | dominant normalized risk component is range (0.892),53.8,14.626190772081463,53.8,14.620095386040731,0.216144,0.216144,0.0,7.0,0.0,False,-180.0,-0.216144,0.0,0.332649,0.080994,0.080994,2.668658,False,,monitor,monitor,No specific Rules 13-17 encounter class was assigned.,0.567712,0.0,0.891928,0.0,0.11044733333333323
